Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;;;;b3C;2;9;FRANCISCO BELTRAO;PR;06/2025;13.992.877;79.163;3.192.282;13.341.461;7.981.988;651.416;65.592;0;0
BANCO BRADESCO BBI S.A.;6271464;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2025;13.640.160;0;3.900.431;8.499.888;7.038.046;5.140.272;456.644;5;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;BCO DO EST. DE SE S.A. - PRUDENCIAL;;81634;b1;1;8;ARACAJU;SE;06/2025;13.515.375;4.681.879;2.846.296;12.677.013;12.116.144;838.361;44.872;65;7
BANCO HSBC S.A.;53518684;BANCO HSBC - PRUDENCIAL;;84741;b1;3;8;SAO PAULO;SP;06/2025;13.511.352;4.493.078;3.685.330;12.081.075;9.856.859;1.430.276;77.233;2;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;BCO DES. DE MG S.A. - PRUDENCIAL;;81328;b4;1;5;BELO HORIZONTE;MG;06/2025;13.491.176;7.068.435;4.808.537;11.203.447;9.881.185;2.287.729;64.147;2;0
BANCO STELLANTIS S.A.;62237425;STELLANTIS - PRUDENCIAL;52508;87298;b2;3;8;SAO PAULO;SP;06/2025;13.363.828;5.761.095;489.944;11.689.013;11.374.716;1.674.814;120.707;2;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;;;;b3S;2;9;SERTAOZINHO;SP;06/2025;13.304.870;8.466.018;319.436;11.534.405;10.516.394;1.770.465;54.415;0;43
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;;;;b3S;2;9;MARINGA;PR;06/2025;13.025.015;7.717.931;3.688.190;11.788.071;6.884.453;1.236.944;54.875;0;113
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;;;;b3C;2;9;VITORIA;ES;06/2025;12.970.638;115.690;3.358.669;12.297.207;401.703;673.431;49.031;0;0
BANCO MUFG BRASIL S.A.;60498557;BCO MUFG BRASIL S.A. - PRUDENCIAL;;81713;b1;3;8;SAO PAULO;SP;06/2025;12.895.619;1.968.265;4.754.428;11.306.083;9.999.879;1.589.535;40.205;2;0
