,conglomerado,cidade,data_base,indice_basileia
165,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BOTUCARAÍ - SICREDI BOTUCARAÍ RS/MG",SOLEDADE,2023-03-01,19.15
166,COOPERATIVA DE CRÉDITO SUL DO ESPÍRITO SANTO - SICOOB SUL,CACHOEIRO DE ITAPEMIRIM,2023-03-01,33.27
167,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE,PORTO ALEGRE,2023-03-01,17.57
168,COOPERATIVA CENTRAL DE CRÉDITO - AILOS,BLUMENAU,2023-03-01,25.2
169,COOPERATIVA DE CRÉDITO ROTA DAS TERRAS - SICREDI ROTA DAS TERRAS RS/MG,TAPERA,2023-03-01,20.84
170,NOVO BCO CONTINENTAL S.A. - BM - PRUDENCIAL,PORTO ALEGRE,2023-03-01,13.2
171,COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO,RIBEIRAO PRETO,2023-03-01,15.43
172,"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO PARQUE DAS ARAUCARIAS - SICREDI PARQUE DAS ARAUCARIAS PR/SC/SP",MARIOPOLIS,2023-03-01,15.58
173,COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO PANTANAL DO MATO GROSSO DO SUL - SICREDI PANTANAL MS,MARACAJU,2023-03-01,20.41
174,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO RAÍZES - SICREDI RAÍZES RS/SC/MG",CAMPO NOVO,2023-03-01,24.62
175,LEASEPLAN AM S.A. - PRUDENCIAL,BARUERI,2023-03-01,21.45
176,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC,CANOINHAS,2023-03-01,15.06
177,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOROESTE RS/MG - SICREDI NOROESTE RS/MG",TRES DE MAIO,2023-03-01,28.38
178,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL RIOGRANDENSE - SICREDI UNIÃO METROPOLITANA RS",PORTO ALEGRE,2023-03-01,15.14
179,BANCO PAULISTA - PRUDENCIAL,SAO PAULO,2023-03-01,11.14
180,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE BRASILEIRO,ANAPOLIS,2023-03-01,15.03
181,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CENTRO SUL - SICREDI CENTRO SUL PR/SC/RJ",PRUDENTOPOLIS,2023-03-01,14.7
182,ANDBANK - PRUDENCIAL,SAO PAULO,2023-03-01,19.34
183,COOPERATIVA DE CRÉDITO COOPERMAIS - SICOOB COOPERMAIS,SANTA MARIA DE JETIBA,2023-03-01,23.65
184,COOPERATIVA DE CRÉDITO SICOOB ENGECRED LTDA.,GOIANIA,2023-03-01,22.94
185,COOPERATIVA CENTRAL DE CRÉDITO UNICRED CONEXÃO LTDA - UNICRED CENTRAL CONEXÃO,FLORIANOPOLIS,2023-03-01,15.06
186,COOPERATIVA DE CRÉDITO UNICRED UNIÃO LTDA - UNICRED UNIÃO,ITAJAI,2023-03-01,15.61
187,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO DO SUL DE MATO GROSSO, AMAPÁ E PARÁ - SICREDI INTEGRAÇÃO MT/AP/PA",RONDONOPOLIS,2023-03-01,17.74
188,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOSSA TERRA - SICREDI NOSSA TERRA PR/SP",CAFELANDIA,2023-03-01,13.71
189,UBS - PRUDENCIAL,SAO PAULO,2023-03-01,39.94
